datetime,open,high,low,close,volume
2026-04-23T00:00:00+00:00,59880.00999999999,60298.43999999999,58393.429999999986,58940.93999999999,181894
2026-04-24T00:00:00+00:00,58940.93999999999,60182.43999999999,58902.94999999998,60062.459999999985,75951
2026-04-27T00:00:00+00:00,60062.459999999985,61005.51999999998,59706.01999999998,60241.039999999986,55069
2026-04-28T00:00:00+00:00,60241.039999999986,60546.30999999998,58933.79999999999,59073.79999999999,74072
2026-04-29T00:00:00+00:00,59073.79999999999,59576.01999999998,58633.50999999999,58685.999999999985,72919
2026-04-30T00:00:00+00:00,58685.999999999985,59942.169999999984,58670.179999999986,59792.18999999999,173328
2026-05-01T00:00:00+00:00,59792.18999999999,59957.22999999999,59142.71999999999,59352.709999999985,40760
2026-05-04T00:00:00+00:00,59352.709999999985,60085.57999999999,59170.58999999998,59530.57999999999,74432
2026-05-05T00:00:00+00:00,59530.57999999999,60796.75999999999,59357.25999999999,60786.75999999999,40162
2026-05-06T00:00:00+00:00,60786.75999999999,62420.47999999999,60703.48999999998,62172.98999999998,74856
2026-05-07T00:00:00+00:00,62172.98999999998,63431.65999999999,61779.65999999999,62181.679999999986,89955
2026-05-08T00:00:00+00:00,62181.679999999986,63783.54999999999,62029.039999999986,63709.05999999998,76551
2026-05-11T00:00:00+00:00,63709.05999999998,63882.429999999986,62417.419999999984,62962.419999999984,62877
2026-05-12T00:00:00+00:00,62962.419999999984,63313.889999999985,61838.86999999999,62571.37999999998,93687
2026-05-13T00:00:00+00:00,62571.37999999998,63554.919999999984,62300.419999999984,63545.419999999984,59243
2026-05-14T00:00:00+00:00,63545.419999999984,63910.889999999985,62601.36999999999,63103.37999999998,65853
2026-05-15T00:00:00+00:00,63103.37999999998,63342.39999999999,61042.889999999985,61729.889999999985,115406
2026-05-18T00:00:00+00:00,61729.889999999985,61916.73999999998,60467.23999999998,61544.249999999985,152862
2026-05-19T00:00:00+00:00,61544.249999999985,61715.72999999999,60015.71999999999,60628.23999999998,143199
2026-05-20T00:00:00+00:00,60628.23999999998,61614.71999999999,59385.19999999998,61304.71999999999,139242
2026-05-21T00:00:00+00:00,61304.71999999999,62406.23999999998,61066.249999999985,62138.72999999999,103295
2026-05-22T00:00:00+00:00,62138.72999999999,63851.64999999999,62107.12999999998,63381.639999999985,74964
2026-05-25T00:00:00+00:00,63381.639999999985,65739.74999999999,63381.639999999985,65550.23999999999,45089
2026-05-26T00:00:00+00:00,65550.23999999999,65730.41,64695.91999999999,65585.41,76073
2026-05-27T00:00:00+00:00,65585.41,66571.76,64822.24,65331.76,81871
2026-05-28T00:00:00+00:00,65331.76,65970.52,63953.53,65855.53,174608
2026-05-29T00:00:00+00:00,65855.53,66724.39,65614.89,66284.9,73419
2026-06-01T00:00:00+00:00,66284.9,67685.46,66113.44,67305.44,81518
2026-06-02T00:00:00+00:00,67305.44,67669.16,65639.65,67569.14,79528
2026-06-03T00:00:00+00:00,67569.14,68853.02,66916.03,68175.51,86565
2026-06-04T00:00:00+00:00,68175.51,68175.51,66986.59,67686.58,208226
2026-06-05T00:00:00+00:00,67686.58,67728.57,63548.56,63778.07,168189
2026-06-08T00:00:00+00:00,63778.07,65977.19,63462.69,65529.7,232895
2026-06-09T00:00:00+00:00,65529.7,66176.18,63164.17,64513.67,277991
2026-06-10T00:00:00+00:00,64513.67,65159.78,63180.28,63274.76,277298
2026-06-11T00:00:00+00:00,63274.76,66667.99,62403.01,66452.49,512630
2026-06-12T00:00:00+00:00,66452.49,67487.51,65913,67335,223712
2026-06-15T00:00:00+00:00,67335,69857.51,67335,69727.51,123292
2026-06-16T00:00:00+00:00,69727.51,70107.51,69077.99,69102.49,120014
2026-06-17T00:00:00+00:00,69102.49,71002.51,68857.99,69962.5,148777
2026-06-18T00:00:00+00:00,69962.5,72220.01,69782.99,71975,302558
2026-06-19T00:00:00+00:00,71975,72323,70808.01,72003,89534
2026-06-22T00:00:00+00:00,72003,73792.49,71233,73122.99,115281
2026-06-23T00:00:00+00:00,73122.99,73262.99,68472.99,69360,249246
2026-06-24T00:00:00+00:00,69360,71169.99,68642.99,71150.01,295776
2026-06-25T00:00:00+00:00,71150.01,72782.51,70837.99,71325,496532
2026-06-26T00:00:00+00:00,71325,71788.01,68852.99,69619.99,315216
2026-06-29T00:00:00+00:00,69619.99,70924.39,68257.38,70721.88,219371
2026-06-30T00:00:00+00:00,70721.88,71461.25,69534.24,71073.75,128460
2026-07-01T00:00:00+00:00,71073.75,72184.28,69589.29,69694.27,158814
2026-07-02T00:00:00+00:00,69694.27,70125.39,67665.87,68400.39,539868
2026-07-03T00:00:00+00:00,68400.39,70095.7,67826.18,69900.68,122414
2026-07-06T00:00:00+00:00,69900.68,70579.92,69014.9,70321.91,139222
2026-07-07T00:00:00+00:00,70321.91,70368.98,67466.96,67646.98,170861
2026-07-08T00:00:00+00:00,67646.98,68625.82,65493.31,67733.31,252139
2026-07-09T00:00:00+00:00,67733.31,69147.67,67537.65,69112.67,266670
2026-07-10T00:00:00+00:00,69112.67,69560.39,68275.87,69360.38,101944
2026-07-13T00:00:00+00:00,69360.38,69360.38,66802.2,67154.19,158038
2026-07-14T00:00:00+00:00,67154.19,68808.96,66413.95,68285.95,175382
2026-07-15T00:00:00+00:00,68285.95,68979.48,67149.46,67736.96,103041
2026-07-16T00:00:00+00:00,67736.96,67972.38,65785.36,66007.37,295402
2026-07-17T00:00:00+00:00,66007.37,66015.26,62865.25,65175.25,212762
